Ticker,AAPL,ABBV,ADBE,AMZN,AVGO,BAC,BRK-B,COST,CRM,CSCO,CVX,GOOGL,HD,JNJ,JPM,KO,LLY,MA,META,MRK,MSFT,NVDA,PEP,PFE,PG,TSLA,UNH,V,WMT,XOM
AAPL,1.0,0.15545760833368538,0.5023488543033812,0.5503202259045401,0.46136956470306073,0.36077232312157564,0.4478770197478574,0.45932590073467905,0.45325379010865635,0.46985586574683685,0.24567468146306176,0.5775678481092712,0.43411367136657525,0.14970384794258096,0.35946425819341354,0.2644342555746895,0.19478787207941928,0.5128869847037355,0.4778995159702746,0.15473062609640295,0.6048976127243789,0.5121035475315816,0.2776752750672708,0.1969426544412824,0.24453027496549026,0.48821613947749654,0.1217318905471799,0.4894626272933142,0.2799343831461072,0.20020636891265542
ABBV,0.15545760833368538,1.0,0.10723535179434457,0.045826227765628745,0.06928963707925972,0.18591356529913655,0.3065812946454165,0.17569209379757872,0.08742515784471916,0.20362774128870784,0.1717362139198474,0.06155629574685937,0.19937519934137932,0.4284026554904803,0.20597082693633223,0.34669508503901864,0.289025901746355,0.22382489238153488,0.035055850734528916,0.39712097550165587,0.10167911134755875,0.02895919509006401,0.3291380225105565,0.3943765707880253,0.3396996733462605,0.005881456417514667,0.18262408188068663,0.24085097920520587,0.20482696454757598,0.16747449536668368
ADBE,0.5023488543033812,0.10723535179434457,1.0,0.5251587494491097,0.40197277172869916,0.2474226431240129,0.31047346301894896,0.4177662712543722,0.6176057677628116,0.36080500203683147,0.128616004738144,0.49475111437415564,0.4086404120950465,0.058231225493168594,0.26359770920794034,0.16672053265002282,0.1868431501620453,0.4556133302063241,0.4577532150851684,0.03135018790819117,0.5903547274150625,0.49770874089374095,0.17547982663862777,0.1151473637238651,0.1582800385306458,0.3457227114505333,0.1389010960666577,0.44060111522033873,0.17676804498424692,0.08476931619824432
AMZN,0.5503202259045401,0.045826227765628745,0.5251587494491097,1.0,0.4589817630288808,0.3516744751761408,0.3357999622943244,0.4150379986062091,0.5424409676558702,0.36926993987204937,0.180150424710172,0.6189856207971651,0.40077359817985925,0.0004932706363666733,0.34969424039624347,0.08990908555885349,0.15813007273608135,0.4356630752972965,0.5945409999942814,0.03705680700763707,0.6397789442841332,0.5494734951745033,0.08730556006255721,0.10049656970378856,0.06976461234226862,0.44346710639427867,0.07602061868960708,0.39789622967131144,0.22619999781816696,0.11793010410524843
AVGO,0.46136956470306073,0.06928963707925972,0.40197277172869916,0.4589817630288808,1.0,0.26803364843259037,0.21522808454609543,0.3475719086033908,0.3748370275112815,0.4170607752278966,0.15197091568693954,0.45471680887379445,0.30890312581602447,-0.058599671253422685,0.310381560845979,0.010292598210293482,0.14787464570355427,0.3285211350314915,0.41676803651565936,0.006131204961629151,0.5024961862336532,0.6453503812486941,0.02407903414445791,0.06581738559093349,0.007748190377466606,0.42438503921459886,0.04132517557703677,0.3052365107285368,0.14022910673195293,0.09469949075181522
BAC,0.36077232312157564,0.18591356529913655,0.2474226431240129,0.3516744751761408,0.26803364843259037,1.0,0.6065471060649884,0.25674489077933754,0.3202585253500411,0.41128983482622306,0.4201041621453122,0.3152357332235042,0.3914208608874537,0.16251738227362078,0.8099530099743752,0.21615050869705787,0.10954884609441766,0.45306753721061294,0.2985793786307269,0.14203052862054924,0.29575553062737797,0.27812892809567696,0.14942895065867726,0.18964978763898235,0.1700768145552931,0.3072919409232639,0.16000870248938642,0.4560903054606189,0.22067346983678374,0.3816180567337232
BRK-B,0.4478770197478574,0.3065812946454165,0.31047346301894896,0.3357999622943244,0.21522808454609543,0.6065471060649884,1.0,0.37833482558272263,0.3022610454746104,0.4251243711722711,0.4351623997748757,0.3300529235510172,0.44388431934648664,0.37994499027926815,0.6368684798718072,0.44561935834476174,0.24730564688494208,0.5554640445518308,0.2854756103352961,0.27276644995209204,0.34841560814172823,0.24038285554850067,0.35839165720122407,0.31060487952296356,0.3706413605306576,0.24307892345033733,0.25370520658481605,0.5458122849285723,0.3299482803167128,0.4011732336598288
COST,0.45932590073467905,0.17569209379757872,0.4177662712543722,0.4150379986062091,0.3475719086033908,0.25674489077933754,0.37833482558272263,1.0,0.36335317804850276,0.37499402351960437,0.13915574155010912,0.3527528570221945,0.4907893458203504,0.20737499232267922,0.2729790583295059,0.3808726565528504,0.2504684570472482,0.3972297726436922,0.34798207614775484,0.12034180739864017,0.44935574730763256,0.36670143629734603,0.340461771873779,0.1525401172790652,0.3788194545544451,0.3332106937718877,0.18712275071261744,0.3833027241945206,0.5587781995062154,0.10666737073834455
CRM,0.45325379010865635,0.08742515784471916,0.6176057677628116,0.5424409676558702,0.3748370275112815,0.3202585253500411,0.3022610454746104,0.36335317804850276,1.0,0.3476210079900643,0.15901663887104536,0.4560075724699382,0.34607401689250084,0.03144264181897369,0.3099972177393204,0.12105251032620838,0.18089274143880443,0.43786900388657274,0.4449388615336022,0.05286266655026359,0.5624568362669682,0.4788179492979196,0.13147742780334937,0.0904301383727653,0.10425576507544947,0.3714045742430756,0.1437427628445064,0.4093312914759944,0.15714724081507409,0.12166134385385169
CSCO,0.46985586574683685,0.20362774128870784,0.36080500203683147,0.36926993987204937,0.4170607752278966,0.41128983482622306,0.4251243711722711,0.37499402351960437,0.3476210079900643,1.0,0.2747186698312419,0.3899881241916881,0.3791623606693348,0.2047153021214388,0.41869050374448913,0.3159297384555306,0.16776510645415105,0.41668989419418173,0.31619072497739886,0.14056856841344192,0.4268778397122784,0.3650359569358755,0.29562554768600957,0.23907379745801577,0.25835776558385487,0.2556316751859849,0.12549964043197773,0.4002786447638521,0.28854635145476343,0.23135061511360247
